hospital_id,Hospital,Doctor,Insurance Provider
1,Sons and Miller,Matthew Smith,Blue Cross
2,Kim Inc,Samantha Davies,Medicare
3,Cook PLC,Tiffany Mitchell,Aetna
4,"Hernandez Rogers and Vang,",Kevin Wells,Medicare
5,White-White,Kathleen Hanna,Aetna
6,Nunez-Humphrey,Taylor Newton,UnitedHealthcare
7,Group Middleton,Kelly Olson,Medicare
8,"Powell Robinson and Valdez,",Suzanne Thomas,Cigna
9,Sons Rich and,Daniel Ferguson,Cigna
10,Padilla-Walker,Heather Day,UnitedHealthcare
11,Schaefer-Porter,John Duncan,Medicare
12,Lyons-Blair,Douglas Mayo,Medicare
13,"Powers Miller, and Flores",Kenneth Fletcher,Cigna
14,Rivera-Gutierrez,Theresa Freeman,UnitedHealthcare
15,Morris-Arellano,Roberta Stewart,UnitedHealthcare
16,Cline-Williams,Maria Dougherty,Blue Cross
17,Cervantes-Wells,Erica Spencer,UnitedHealthcare
18,"Torres, and Harrison Jones",Justin Kim,Cigna
19,Houston PLC,Justin Moore Jr.,Blue Cross
20,Hammond Ltd,Denise Galloway,Cigna
21,Jones LLC,Krista Smith,Blue Cross
22,Williams-Davis,Gregory Smith,Aetna
23,Clark-Mayo,Vanessa Newton,Aetna
24,and Sons Smith,Donna Martinez MD,Aetna
25,Wilson Group,Stephanie Kramer,Medicare
26,Garner-Bowman,Angela Contreras,Medicare
27,"Brown, and Jones Weaver",Wendy Glenn,Blue Cross
28,Serrano-Dixon,James Ellis,UnitedHealthcare
29,Gardner-Miller,Jared Bruce Jr.,Cigna
30,Guerrero-Boone,Brandy Mitchell,Aetna
31,Hart Ltd,Jacob Huynh,Cigna
32,Cruz-Santiago,Kristina Frazier,UnitedHealthcare
33,Group Duncan,John Hartman,Medicare
34,Lopez-Phillips,Heather Garcia,Medicare
35,Poole Inc,Lynn Young,Blue Cross
36,Sons and Cox,Emma Allison,Medicare
37,LLC Martin,Laura Myers,Aetna
38,Espinoza-Stone,Travis Parsons,Aetna
39,"and Garcia Morris Cunningham,",Christine Johnson,Cigna
40,Walton-Meyer,Emily Taylor,Medicare
41,PLC Young,William Reynolds,Cigna
42,Meadows Group,Jennifer Carter,Cigna
43,"and Howell Brooks, Rogers",Matthew Thomas,Cigna
44,"and Mcclure White Boone,",Mary Logan,UnitedHealthcare
45,"Gates Brown, and Stuart",Kristin Martinez,Medicare
46,Group Armstrong,Daniel Murphy,Medicare
47,Ltd Schwartz,Emily Patterson,Cigna
48,Nelson-Phillips,Heather Smith,Cigna
49,"Knight and Nguyen, Riggs",John Smith,UnitedHealthcare
50,Lopez PLC,Cameron Young,Cigna
51,"Fernandez and Phillips, Singh",Vicki Nguyen,Medicare
52,Beck-Galloway,Mary Moss,Aetna
53,"Decker Glover, and Christensen",Alexander Garcia,Aetna
54,"Nelson Walker Myers, and",Patrick Burns,UnitedHealthcare
55,Mitchell-Navarro,Kayla Powers,Cigna
56,Group Delgado,Julia Cox,UnitedHealthcare
57,"and Montes Graves, Thomas",Penny Pruitt,Cigna
58,Hall-Bentley,Mrs. Lori Hurst PhD,Aetna
59,Taylor-Nguyen,Stephen Carr,Aetna
60,Hunter-Grant,Jacob Daniel,Aetna
61,Miller-Lawson,Tyler Braun,Aetna
62,Scott-Kelly,Cindy Ellis,UnitedHealthcare
63,"Moss and Ferguson, Baker",Megan Hahn,UnitedHealthcare
64,"and Mason Smith Chase,",Eric Kelly,Cigna
65,"Khan, and Rodriguez Fischer",Jennifer Larson,Medicare
66,Sons Watson and,William Hess,Medicare
67,Rhodes-Carey,Patricia Dunn,Medicare
68,Bullock-Ramsey,Jack Jackson,Cigna
69,"Clark Brown, and Myers",Jonathan Drake,UnitedHealthcare
70,"Jackson and Lane, Dillon",Ian Benitez,Medicare
71,"Turner Cook, Banks and",Jamie Baker,Blue Cross
72,"Miles, and Weaver Hudson",Erika Jackson,Aetna
73,Evans Ltd,Amanda Garcia,Cigna
74,Sons and Schaefer,Raven Wong,Aetna
75,Sons Hodges and,Cynthia Scott,Aetna
76,Simpson-Mccall,Mark Padilla,UnitedHealthcare
77,"Lin Thompson Wells, and",Julie Ramirez,Blue Cross
78,Jones-Scott,Jacob Rich,Cigna
79,Howe-Kelly,Mark Hartman Jr.,UnitedHealthcare
80,and Sons Reyes,Timothy Baker,UnitedHealthcare
81,Shaw-Young,Lori Sanchez,Blue Cross
82,Inc Skinner,Connie Boyd,Aetna
83,Clark-Johnson,James Tucker,Blue Cross
84,Perez and Sons,Juan Acevedo,Cigna
85,Kemp LLC,Julie Finley,Medicare
